first_name,last_name,dob,member_id,effective_date,expiry_date,phone_number
Jason,Bateman,12/12/2010,AB 0000,,,,
Brent ,Wilson,1/1/1988,349090,9/30/19,9/30/2000,3038873456,
Nikola,Jokic,2/2/1966,890887,9/30/19,9/30/2000,3033339987,
Kris,Bryant,6/6/99,jkj3343,8/4/16,12/12/2050,,
Baker,Mayfield,1/4/88,349093,9/30/19,12/13/2050,13039873345,
Serena,Williams,4/4/1948,jk 909009,11/11/17,12/14/2050,4445559876,
Jake,Jabs,1/6/1988,349090,9/30/19,12/15/50,4445559877,
Mary,Poppins,1/7/1988,uu 90990,9/30/19,12/16/50,4445559878,
Sally,Jesse Rephael,1/8/88,349097,9/30/19,12/17/50,4445559879,
Bruce,Springsteen,1/9/88,234324,9/30/19,,4445559880,
Jason,Statham,1988-02-12,349099,9/30/19,,6065559886,
Lenny,Bruce,1-11-88,349100,9-30-19,,2025559882,
Martin,Short,1/12/88,349101,9/30/19,,4045559883,
Benny,Samson,1/13/88,349102,9/30/19,,44425559884,
